customer_id,customer_name,city,country,age_group,segment,signup_date,acquisition_channel,is_member
CUST_1,Diane Rivera,Lake Haleyland,Botswana,18-25,Découverte,2024-10-08,TikTok,0
CUST_2,Walter Diaz,Sharonhaven,Cayman Islands,26-35,Découverte,2024-03-30,Referral,1
CUST_3,Jacob Brown,West Staceyville,Tokelau,18-25,Découverte,2024-04-05,TikTok,0
CUST_4,Steven Cherry,Kristopherbury,Belize,18-25,Créateur,2024-07-22,Event Walk-in,1
CUST_5,Susan Wilson,Paulaton,Gambia,26-35,Corporate,2024-10-11,Partnership,0
CUST_6,Amber Cervantes,New Michelle,British Indian Ocean Territory (Chagos Archipelago),26-35,Corporate,2024-12-14,LinkedIn,0
CUST_7,Christopher Le,Lake Nicole,Mongolia,26-35,Premium,2024-04-14,Instagram,1
CUST_8,Brittany Gilbert,Port Jocelynstad,Vanuatu,18-25,Premium,2024-12-18,Referral,1
CUST_9,Johnathan Serrano,West Nicole,Grenada,18-25,Corporate,2024-05-07,Google Search,0
CUST_10,David Miller,Jessicafurt,Canada,36-45,Créateur,2025-01-05,Referral,0
CUST_11,Terri Moore,Lake Vanessa,San Marino,18-25,Découverte,2024-08-21,Partnership,1
CUST_12,Amy Simon,Porterbury,United Kingdom,18-25,Régulier,2024-04-13,Google Search,1
CUST_13,Beth Wallace,Pattersonborough,El Salvador,46-60,Premium,2024-06-15,LinkedIn,1
CUST_14,Savannah Wade,Jenningsborough,Kiribati,26-35,Premium,2024-03-14,Referral,0
CUST_15,James Clark,West Josephshire,Faroe Islands,26-35,Régulier,2025-04-18,Google Search,1
CUST_16,Tony Larson,Hernandezton,Japan,26-35,Premium,2024-02-27,TikTok,0
CUST_17,Gregory Mack,Lake Joseph,Wallis and Futuna,36-45,Corporate,2024-10-01,Instagram,0
CUST_18,Jennifer Anderson,North Roberto,Belize,36-45,Régulier,2025-05-26,Google Search,1
CUST_19,John Roman,Lake Kristinamouth,Vietnam,26-35,Premium,2024-05-22,TikTok,1
CUST_20,Janet Wallace,Alanborough,Faroe Islands,46-60,Créateur,2025-02-12,LinkedIn,0
CUST_21,Jeffrey Morales,Michaelton,Finland,26-35,Créateur,2025-05-20,Instagram,0
CUST_22,Kayla Nash,Lake Michael,Saint Barthelemy,18-25,Régulier,2024-06-12,Partnership,1
CUST_23,Austin Campbell,South Davidport,Sri Lanka,18-25,Corporate,2025-01-25,Referral,1
CUST_24,Kevin Ortiz,Howardborough,Ecuador,36-45,Créateur,2024-01-12,Event Walk-in,0
CUST_25,Chad Cunningham,North Mark,Croatia,36-45,Premium,2024-04-24,LinkedIn,1
