customer_id,customer_name,city,country,age_group,segment,signup_date,acquisition_channel,is_member
CUST_1,Timothée Delorme Le Bertrand,Bodin-sur-Leduc,Portugal,46-60,Startup,2024-05-11,LinkedIn,0
CUST_2,Marcel Allard de la Allain,Lombard,Jordanie,36-45,PME,2024-03-30,Google Search,1
CUST_3,Léon Tanguy,Ramos,Brésil,36-45,PME,2025-06-10,Instagram,0
CUST_4,Robert de Denis,Marin-sur-Sanchez,Vierges (Îles),26-35,Startup,2024-07-24,Instagram,0
CUST_5,Alain Duhamel,Pons-sur-Lefebvre,Pays-Bas,18-25,Freelance,2024-12-19,LinkedIn,0
CUST_6,Julien-Bertrand Lebrun,Bourdon-sur-Poirier,Syrie,36-45,PME,2024-04-01,Google Search,1
CUST_7,Julien Diallo,Sainte Émile,Luxembourg,46-60,Startup,2024-08-28,Partnership,1
CUST_8,Joseph-Julien Dias,Mauricenec,Philippines,36-45,Startup,2024-06-16,LinkedIn,0
CUST_9,Patricia-Alex Humbert,Payet-sur-Roche,Suède,36-45,Freelance,2024-07-13,Google Search,0
CUST_10,Michèle de Godard,Pires-sur-Rousset,Pays-Bas,18-25,Freelance,2025-02-23,Google Search,0
CUST_11,Lucas-Thibaut Clerc,Verdier,Myanmar,46-60,Freelance,2025-02-02,Google Search,0
CUST_12,Georges-André Lévêque,Fleury,Tuvalu,26-35,PME,2024-02-10,LinkedIn,1
CUST_13,Joséphine Payet,Saint Suzanne,Koweit,36-45,Freelance,2024-05-10,Instagram,1
CUST_14,Éric-Raymond Marie,Legendre,Nauru,26-35,Startup,2024-10-16,Event Walk-in,1
CUST_15,Denise Baudry,Diallo,Canada,26-35,Startup,2024-10-08,Google Search,1
CUST_16,Yves Maurice,Philippeboeuf,Azerbaïdjan,36-45,PME,2025-05-07,Partnership,1
CUST_17,Émile Paris,Daniel-sur-Mer,Timor,18-25,PME,2024-03-08,Google Search,0
CUST_18,Adrien Tanguy,Saint Sébastiendan,Comores,18-25,PME,2024-03-28,LinkedIn,1
CUST_19,Antoinette du Guilbert,Guillet,Porto Rico,18-25,Freelance,2024-09-18,Partnership,1
CUST_20,Renée de Boucher,Sainte Émilenec,Philippines,46-60,Freelance,2025-06-05,LinkedIn,0
CUST_21,Georges Léger de la Gautier,SauvageVille,Bahrain,26-35,Freelance,2024-02-14,Google Search,0
CUST_22,Margaret-Marcelle Maillet,Lecomte,Monaco,18-25,Startup,2024-05-03,Partnership,1
CUST_23,Paul Vincent,Hubertdan,Tunisie,46-60,Startup,2025-03-07,TikTok,1
CUST_24,Marc Le Seguin,Lamy-les-Bains,Cayman (Îles),46-60,PME,2024-10-20,LinkedIn,1
CUST_25,Aimé Jourdan de Vallée,GuérinVille,Guadeloupe,18-25,PME,2024-01-22,Google Search,1
CUST_26,Thierry Lopes,Thierry-sur-Labbé,Ouganda,26-35,Freelance,2025-04-13,Google Search,0
CUST_27,Caroline Marie,Coste,Malaisie,26-35,PME,2024-02-21,Google Search,0
CUST_28,Christophe Vidal,Diallonec,La Barbad,18-25,Startup,2024-08-09,LinkedIn,1
CUST_29,Édouard du Guillot,Regniernec,Vanuatu,18-25,Startup,2025-02-06,LinkedIn,1
CUST_30,Patrick du Thierry,Micheldan,Chine (Rép. pop.),18-25,Enterprise,2025-06-21,Partnership,0
CUST_31,Christelle Lefort Le Samson,Traorenec,Guatemala,36-45,Enterprise,2024-02-15,Event Walk-in,1
CUST_32,Chantal Le Roux,Hebert,Pérou,18-25,Startup,2024-10-05,Google Search,1
CUST_33,François Schneider,Fontaine-sur-Meunier,Yemen,26-35,PME,2024-09-18,Referral,0
CUST_34,Suzanne Bigot,Mary-sur-Mer,Vierges britanniques (Îles),26-35,Freelance,2024-06-28,LinkedIn,0
CUST_35,Lucy Pruvost,Cohen-sur-Lamy,Slovaquie,36-45,PME,2024-06-09,LinkedIn,1
CUST_36,Célina Meunier,Bernard-sur-Lévêque,Tokelau,46-60,PME,2024-09-06,LinkedIn,0
CUST_37,Michèle Seguin,Rodriguez,Chine (Rép. pop.),46-60,PME,2024-03-08,TikTok,1
CUST_38,Henri-Maurice Baudry,Toussaint,Japon,46-60,Startup,2025-02-03,LinkedIn,1
CUST_39,Anouk Faure,BoutinVille,Uruguay,46-60,Enterprise,2024-12-30,LinkedIn,0
CUST_40,Thierry Lopes,Bouvier,Luxembourg,26-35,Agency,2025-02-05,Referral,1
CUST_41,Anastasie Courtois,Saint Clémencedan,Tuvalu,18-25,Enterprise,2024-08-22,LinkedIn,1
CUST_42,Alix Teixeira,Bertin,Finlande,18-25,Freelance,2024-01-05,Instagram,0
CUST_43,Luc Jacques du Nguyen,Valléedan,Mongolie,26-35,Startup,2024-04-26,Partnership,0
CUST_44,Augustin Maillet-Chauvin,Morvan,Yougoslavie,36-45,Freelance,2024-09-26,TikTok,0
CUST_45,Auguste Samson,Martinezboeuf,Togo,18-25,Startup,2025-02-12,Referral,1
CUST_46,Michel Barthelemy,Rivière,Guinée Equatoriale,26-35,Startup,2024-06-28,Instagram,0
CUST_47,Anaïs Masse,Boyer,Maurice,46-60,Freelance,2025-04-21,TikTok,1
